"Scopus Source Identifier","Journal","2016 Cite Score","Number of Cases (Model 1)","Odds Ratio (Model 1)","95% CI Lower Bound (Model 1)","95% CI Upper Bound (Model 1)","P-Value (Model 1)","Number of Cases (Model 2)","Odds Ratio (Model 2)","95% CI Lower Bound (Model 2)","95% CI Upper Bound (Model 2)","P-Value (Model 2)","Number of ICCs (2013)","Number of ICCs (2014)","Number of ICCs (2015)","Number of ICCs (2016)","Number of ICCs (2017)","Journal Topics"
"16705","Journal of Emotional and Behavioral Disorders",1.87,6,"1.58","0.26","9.57","0.617",6,"1.58","0.26","9.57","0.267",0,0,0,2,4,"Psychiatry and Mental Health"
"26162","Journal of Endocrinological Investigation",1.93,6,"0.95","0.15","6.14","0.957",6,"0.95","0.15","6.14","0.888",1,1,0,2,2,"Endocrinology, Diabetes, and Metabolism"
"19972","Journal of Endourology",1.92,10,"11.76","1.05","131.97","0.046",10,"11.76","1.05","131.97","0.114",0,0,2,3,6,"Urology"
"21675","Journal of Endovascular Therapy",2.11,86,"0.39","0.14","1.11","0.078",86,"0.39","0.14","1.11","0.069",29,28,32,15,23,"Cardiology and Cardiovascular Medicine; Radiology Nuclear Medicine and Imaging"
"21100242835","Journal of Environmental Health Science and Engineering",1.89,7,"1.18","0.10","13.82","0.894",7,"1.18","0.10","13.82","0.864",1,4,2,0,0,"Public, Environmental, and Occupational Health"
"15896","Journal of Epidemiology and Community Health",2.74,19,"0.84","0.29","2.48","0.758",19,"0.84","0.29","2.48","0.715",5,6,7,1,1,"Epidemiology; Public, Environmental, and Occupational Health"
"6400153111","Journal of Ethnobiology and Ethnomedicine",2.35,12,"0.83","0.18","3.77","0.810",12,"0.83","0.18","3.77","0.442",5,2,3,2,3,"Complementary and Alternative Medicine"
"15898","Journal of Evaluation in Clinical Practice",1.31,12,"0.30","0.06","1.63","0.164",12,"0.30","0.06","1.63","0.252",5,9,3,3,10,"Health Policy; Public, Environmental, and Occupational Health"
"29951","Journal of Experimental and Clinical Cancer Research",4.97,33,"0.86","0.36","2.08","0.738",33,"0.86","0.36","2.08","0.345",4,13,12,11,3,"Oncology"
"21272","Journal of Experimental Medicine",10.19,48,"0.27","0.09","0.77","0.014",48,"0.27","0.09","0.77","0.115",8,9,26,5,3,"Immunology and Allergy"
"4400151701","Journal of Exposure Science and Environmental Epidemiology",2.8,14,"1.63","0.49","5.39","0.427",14,"1.63","0.49","5.39","0.281",11,1,1,2,1,"Epidemiology; Public, Environmental, and Occupational Health"
"15900","Journal of Extra-Corporeal Technology",0.64,3,"4.90","0.28","85.17","0.275",3,"4.90","0.28","85.17","0.739",1,0,0,3,2,"Cardiology and Cardiovascular Medicine; Medicine (miscellaneous)"
"21100797856","Journal of Extracellular Vesicles",13.15,8,"1.35","0.24","7.44","0.732",8,"1.35","0.24","7.44","0.175",2,3,1,0,2,"Histology"
"3900148620","Journal of Family Nursing",1.79,3,"0.87","0.07","10.29","0.915",3,"0.87","0.07","10.29","0.999",0,0,0,4,1,"Family Practice"
"19700182738","Journal of Foot and Ankle Research",1.75,12,"0.63","0.15","2.76","0.544",12,"0.63","0.15","2.76","0.284",2,3,3,0,4,"Orthopedics and Sports Medicine"
"25296","Journal of Gastroenterology and Hepatology (Australia)",2.83,7,"2.58","0.40","16.75","0.320",7,"2.58","0.40","16.75","0.994",6,0,0,1,0,"Gastroenterology; Hepatology"
"21100773851","Journal of Gastrointestinal Oncology",0.47,4,"0.90","0.07","11.17","0.936",4,"0.90","0.07","11.17","0.666",3,1,0,0,0,"Gastroenterology; Oncology"
"26643","Journal of General Internal Medicine",2.08,161,"0.95","0.67","1.34","0.769",161,"0.95","0.67","1.34","0.268",49,68,35,47,48,"Internal Medicine"
"15509","Journal of Genetic Counseling",1.88,7,"2.70","0.30","24.16","0.374",7,"2.70","0.30","24.16","0.567",0,1,0,5,2,"Genetics (clinical)"
"19700175259","Journal of Geriatric Oncology",2.55,6,"1.12","0.17","7.44","0.903",6,"1.12","0.17","7.44","0.749",1,1,1,3,2,"Geriatrics and Gerontology; Oncology"
"21100787508","Journal of Global Health",1.58,11,"0.28","0.06","1.37","0.116",11,"0.28","0.06","1.37","0.157",1,0,2,5,13,"Health Policy; Public, Environmental, and Occupational Health"
"19700201138","Journal of Global Infectious Diseases",0.99,2,"1.50","0.08","28.37","0.787",2,"1.50","0.08","28.37","1.000",1,2,0,1,3,"Infectious Diseases"
"21680","Journal of Hand Surgery",1.38,15,"2.19","0.54","8.96","0.275",15,"2.19","0.54","8.96","0.276",4,5,1,2,4,"Orthopedics and Sports Medicine; Surgery"
"6700153283","Journal of Hand Surgery: European Volume",0.86,21,"0.94","0.20","4.40","0.938",21,"0.94","0.20","4.40","0.993",1,7,9,5,2,"Surgery"
"12218","Journal of Head Trauma Rehabilitation",2.83,13,"0.58","0.18","1.82","0.348",13,"0.58","0.18","1.82","0.386",5,6,2,5,3,"Clinical Neurology; Rehabilitation"
"16714","Journal of Headache and Pain",2.1,36,"1.09","0.52","2.26","0.824",36,"1.09","0.52","2.26","0.981",5,13,14,10,13,"Anesthesiology and Pain Medicine; Clinical Neurology"
"15931","Journal of Health Politics, Policy and Law",1.16,9,"0.14","0.02","1.20","0.073",9,"0.14","0.02","1.20","0.129",0,0,7,2,2,"Health Policy"
"144616","Journal of Health, Organisation and Management",1.31,3,"2.14","0.19","24.39","0.539",3,"2.14","0.19","24.39","0.999",0,0,0,6,0,"Health Policy"
"21684","Journal of Heart and Lung Transplantation",4.72,50,"1.03","0.49","2.17","0.940",50,"1.03","0.49","2.17","0.921",14,11,12,12,22,"Cardiology and Cardiovascular Medicine; Pulmonary and Respiratory Medicine; Surgery; Transplantation"
"17900156736","Journal of Hematology and Oncology",5.6,16,"0.69","0.19","2.54","0.580",16,"0.69","0.19","2.54","0.325",2,2,5,2,7,"Hematology; Oncology"
"25297","Journal of Hepatology",7.43,147,"0.42","0.25","0.70","0.001",147,"0.42","0.25","0.70","0.057",26,31,40,48,40,"Hepatology"
"18926","Journal of Heredity",2.28,5,"6.62","0.65","67.62","0.111",5,"6.62","0.65","67.62","0.366",0,0,2,2,1,"Genetics (clinical)"
"18566","Journal of Histochemistry and Cytochemistry",2.27,2,"1.12","0.03","40.36","0.951",2,"1.12","0.03","40.36","1.000",0,1,1,0,1,"Anatomy; Histology"
"22427","Journal of Hospital Infection",2.66,21,"0.36","0.11","1.11","0.076",21,"0.36","0.11","1.11","0.116",6,0,4,13,12,"Infectious Diseases; Microbiology (medical)"
"5200152805","Journal of hospital medicine (Online)",1.55,33,"0.91","0.40","2.05","0.823",33,"0.91","0.40","2.05","0.526",4,8,14,9,13,"Health Policy"
"18928","Journal of Human Genetics",2.18,8,"0.25","0.03","2.06","0.197",8,"0.25","0.03","2.06","0.341",3,1,0,3,1,"Genetics (clinical)"
"23875","Journal of Human Hypertension",2.19,11,"0.30","0.04","2.48","0.263",11,"0.30","0.04","2.48","0.078",0,3,6,3,1,"Internal Medicine"
"27584","Journal of Human Lactation",1.48,9,"2.53","0.29","21.68","0.399",9,"2.53","0.29","21.68","0.430",4,1,4,1,5,"Obstetrics and Gynecology"
"23877","Journal of Hypertension",3.42,142,"0.33","0.19","0.59","0.000",142,"0.33","0.19","0.59","0.001",57,61,53,47,62,"Cardiology and Cardiovascular Medicine; Internal Medicine"
"17600155230","Journal of Infection Prevention",0.37,2,"1.53","0.09","26.00","0.770",2,"1.53","0.09","26.00","0.999",0,0,2,1,1,"Health Policy; Infectious Diseases; Public, Environmental, and Occupational Health"
"22440","Journal of Infectious Diseases",4.86,162,"0.72","0.49","1.04","0.075",162,"0.72","0.49","1.04","0.676",59,39,29,33,28,"Immunology and Allergy; Infectious Diseases"
"15106","Journal of Inherited Metabolic Disease",3.19,8,"2.99","0.66","13.63","0.157",8,"2.99","0.66","13.63","0.217",4,5,2,2,0,"Genetics (clinical)"
"19200156952","Journal of Innate Immunity",3.56,7,"0.70","0.13","3.80","0.681",7,"0.70","0.13","3.80","0.722",6,2,0,2,1,"Immunology and Allergy"
"16726","Journal of Intellectual Disability Research",2.07,2,"0.82","0.05","13.24","0.887",2,"0.82","0.05","13.24","0.825",2,0,0,0,0,"Clinical Neurology; Psychiatry and Mental Health; Rehabilitation"
"21100469363","Journal of Intensive Care",0.95,9,"0.72","0.07","7.28","0.779",9,"0.72","0.07","7.28","0.564",1,4,2,5,1,"Critical Care and Intensive Care Medicine"
"26656","Journal of Internal Medicine",6.07,53,"0.75","0.38","1.49","0.411",53,"0.75","0.38","1.49","0.369",17,12,10,11,9,"Internal Medicine"
"15945","Journal of Interprofessional Care",2.47,2,"1.79","0.09","35.90","0.704",2,"1.79","0.09","35.90","1.000",3,1,1,0,1,"Medicine (all)"
"23879","Journal of Interventional Cardiac Electrophysiology",1.69,8,"0.57","0.07","4.74","0.600",8,"0.57","0.07","4.74","0.805",2,1,0,2,3,"Cardiology and Cardiovascular Medicine; Physiology (medical)"
"23880","Journal of Interventional Cardiology",1.42,8,"3.90","0.83","18.32","0.084",8,"3.90","0.83","18.32","0.086",1,6,1,1,2,"Cardiology and Cardiovascular Medicine; Radiology Nuclear Medicine and Imaging"
"23881","Journal of Invasive Cardiology",1.25,28,"0.34","0.05","2.61","0.303",28,"0.34","0.05","2.61","0.302",2,3,13,16,3,"Cardiology and Cardiovascular Medicine; Radiology Nuclear Medicine and Imaging"
"24868","Journal of Investigative Dermatology",3.8,141,"0.78","0.52","1.17","0.227",141,"0.78","0.52","1.17","0.647",41,44,51,33,45,"Dermatology"
"21701","Journal of Laparoendoscopic and Advanced Surgical Techniques - Part A",1.36,12,"0.45","0.05","3.68","0.454",12,"0.45","0.05","3.68","0.469",3,3,1,1,7,"Surgery"
"16244","Journal of Law, Medicine and Ethics",1.33,8,"1.39","0.33","5.74","0.653",8,"1.39","0.33","5.74","0.739",3,1,5,1,4,"Health Policy"
"27585","Journal of Lower Genital Tract Disease",1.57,4,"0.36","0.04","3.52","0.378",4,"0.36","0.04","3.52","0.357",1,0,1,0,4,"Obstetrics and Gynecology"
"23462","Journal of Mammary Gland Biology and Neoplasia",3.1,4,"1.88","0.24","14.94","0.550",4,"1.88","0.24","14.94","0.940",6,0,1,0,0,"Oncology"
"5900153316","Journal of Medical Biochemistry",0.84,2,"2.00","0.11","37.83","0.644",2,"2.00","0.11","37.83","1.000",1,1,0,0,0,"Biochemistry, Medical"
"15951","Journal of Medical Economics",2.02,8,"0.17","0.02","1.46","0.107",8,"0.17","0.02","1.46","0.433",2,1,5,2,0,"Health Policy"
"15962","Journal of Medical Ethics",0.96,62,"0.50","0.25","1.01","0.053",62,"0.50","0.25","1.01","0.040",50,30,26,17,13,"Health Policy"
"11300153316","Journal of Medical Imaging and Radiation Oncology",1.28,11,"0.53","0.12","2.27","0.391",11,"0.53","0.12","2.27","0.347",2,5,2,2,1,"Oncology; Radiology Nuclear Medicine and Imaging"
"23709","Journal of Medical Internet Research",4.21,12,"0.27","0.05","1.55","0.142",12,"0.27","0.05","1.55","0.036",0,6,3,0,7,"Health Informatics"
"21100409310","Journal of Medical Radiation Sciences",0.88,8,"1.41","0.28","7.00","0.673",8,"1.41","0.28","7.00","0.904",0,5,4,2,3,"Radiology Nuclear Medicine and Imaging"
"16727","Journal of Mental Health",1.83,3,"0.80","0.07","9.56","0.859",3,"0.80","0.07","9.56","0.827",0,1,0,0,2,"Psychiatry and Mental Health"
"20235","Journal of Microbiological Methods",2.05,2,"0.55","0.03","10.87","0.693",2,"0.55","0.03","10.87","1.000",2,0,0,0,0,"Microbiology (medical)"
"20919","Journal of Microscopy",1.9,3,"0.96","0.08","10.94","0.973",3,"0.96","0.08","10.94","NA",1,0,1,2,0,"Histology; Pathology and Forensic Medicine"
"27603","Journal of Midwifery and Women's Health",0.99,7,"1.61","0.28","9.38","0.595",7,"1.61","0.28","9.38","0.698",2,7,4,3,0,"Obstetrics and Gynecology"
"144915","Journal of Minimally Invasive Gynecology",2.18,13,"1.40","0.44","4.48","0.567",13,"1.40","0.44","4.48","0.250",7,6,3,2,1,"Obstetrics and Gynecology"
"15983","Journal of Molecular Diagnostics",4.68,11,"0.56","0.14","2.27","0.421",11,"0.56","0.14","2.27","0.553",2,4,0,2,3,"Pathology and Forensic Medicine"
"15984","Journal of Molecular Medicine",4.47,16,"0.31","0.06","1.54","0.151",16,"0.31","0.06","1.54","0.502",10,12,12,11,11,"Genetics (clinical)"
"16088","Journal of Nanobiotechnology",4.8,6,"0.44","0.04","4.79","0.502",6,"0.44","0.04","4.79","0.585",0,0,3,2,3,"Medicine (miscellaneous)"
"16734","Journal of Nervous and Mental Disease",2.03,8,"0.55","0.09","3.32","0.514",8,"0.55","0.09","3.32","0.979",1,4,3,1,1,"Psychiatry and Mental Health"
"15300154855","Journal of Neural Transmission",2.27,8,"0.44","0.07","2.70","0.372",8,"0.44","0.07","2.70","0.258",0,3,1,6,0,"Clinical Neurology; Psychiatry and Mental Health"
"14484","Journal of Neuro-Ophthalmology",1.4,17,"1.98","0.54","7.21","0.301",17,"1.98","0.54","7.21","0.267",2,2,3,6,7,"Clinical Neurology; Ophthalmology"
"19400158590","Journal of Neurodevelopmental Disorders",3.32,6,"0.30","0.03","3.17","0.314",6,"0.30","0.03","3.17","0.404",0,0,2,2,2,"Clinical Neurology; Pathology and Forensic Medicine; Pediatrics, Perinatology, and Child Health"
"16745","Journal of Neuroendocrinology",3.21,11,"0.70","0.19","2.59","0.590",11,"0.70","0.19","2.59","0.380",2,7,0,2,0,"Endocrinology, Diabetes, and Metabolism"
"130095","Journal of NeuroEngineering and Rehabilitation",3.76,18,"1.21","0.39","3.73","0.742",18,"1.21","0.39","3.73","0.946",1,7,4,6,3,"Health Informatics; Rehabilitation"
"4700152872","Journal of NeuroImmune Pharmacology",3.87,13,"0.72","0.17","2.93","0.641",13,"0.72","0.17","2.93","0.928",9,1,3,3,0,"Immunology and Allergy"
"19700201513","Journal of NeuroInterventional Surgery",2.32,12,"0.86","0.08","9.07","0.897",12,"0.86","0.08","9.07","0.765",7,1,1,4,5,"Clinical Neurology; Surgery"
"4000148206","Journal of Neurologic Physical Therapy",1.97,8,"2.68","0.53","13.60","0.233",8,"2.68","0.53","13.60","0.392",0,1,5,2,0,"Clinical Neurology; Rehabilitation"
"16751","Journal of Neurology",2.77,8,"1.23","0.29","5.27","0.784",8,"1.23","0.29","5.27","0.755",3,3,0,2,0,"Clinical Neurology"
"16757","Journal of Neurology, Neurosurgery and Psychiatry",4.62,115,"0.44","0.26","0.75","0.002",115,"0.44","0.26","0.75","0.014",35,44,25,13,27,"Clinical Neurology; Psychiatry and Mental Health; Surgery"
"17227","Journal of Neuroradiology",1.56,5,"0.91","0.08","10.04","0.936",5,"0.91","0.08","10.04","0.494",0,1,2,0,2,"Clinical Neurology; Radiology Nuclear Medicine and Imaging"
"19700201172","Journal of Neurosciences in Rural Practice",0.55,87,"0.60","0.32","1.14","0.118",87,"0.60","0.32","1.14","0.038",41,33,19,9,14,"Clinical Neurology"
"16767","Journal of Neurosurgery",2.53,41,"0.16","0.02","1.22","0.077",41,"0.16","0.02","1.22","0.140",44,12,14,10,8,"Clinical Neurology; Surgery"
"11200153402","Journal of Neurosurgery: Pediatrics",1.64,22,"1.37","0.36","5.28","0.645",22,"1.37","0.36","5.28","0.737",9,7,15,8,6,"Clinical Neurology; Pediatrics, Perinatology, and Child Health; Surgery"
"12235","Journal of Neurotrauma",4.45,6,"0.46","0.05","4.15","0.486",6,"0.46","0.05","4.15","0.924",2,0,0,8,4,"Clinical Neurology"
"17229","Journal of Nuclear Cardiology",1.62,78,"0.78","0.38","1.60","0.502",78,"0.78","0.38","1.60","0.609",15,17,15,34,53,"Cardiology and Cardiovascular Medicine; Radiology Nuclear Medicine and Imaging"
"17230","Journal of Nuclear Medicine",5.06,54,"1.00","0.51","1.96","0.998",54,"1.00","0.51","1.96","0.445",6,14,17,14,18,"Radiology Nuclear Medicine and Imaging"
"12716","Journal of Nutrition",3.93,42,"0.85","0.43","1.68","0.644",42,"0.85","0.43","1.68","0.999",11,10,6,16,15,"Medicine (miscellaneous)"
"19900192172","Journal of Nutrition in Gerontology and Geriatrics",1.15,2,"0.53","0.03","9.80","0.673",2,"0.53","0.03","9.80","1.000",0,0,2,0,0,"Geriatrics and Gerontology"
"26661","Journal of Nutrition, Health and Aging",2.57,7,"0.28","0.03","2.71","0.272",7,"0.28","0.03","2.71","0.308",4,4,0,0,0,"Geriatrics and Gerontology; Medicine (miscellaneous)"
"21100202146","Journal of Obsessive-Compulsive and Related Disorders",1.77,7,"0.33","0.04","2.84","0.311",7,"0.33","0.04","2.84","0.210",0,9,0,0,0,"Psychiatry and Mental Health"
"37502","Journal of Obstetrics and Gynaecology Canada",1.1,8,"2.55","0.45","14.45","0.290",8,"2.55","0.45","14.45","0.237",4,3,3,4,4,"Obstetrics and Gynecology"
"15986","Journal of Occupational and Environmental Medicine",1.58,20,"0.75","0.25","2.25","0.601",20,"0.75","0.25","2.25","0.890",7,6,10,8,6,"Public, Environmental, and Occupational Health"
"15300154846","Journal of Occupational Medicine and Toxicology",1.77,3,"2.45","0.13","46.81","0.552",3,"2.45","0.13","46.81","0.646",2,1,0,1,1,"Public, Environmental, and Occupational Health"
"29283","Journal of Occupational Rehabilitation",2.02,4,"0.20","0.02","1.91","0.162",4,"0.20","0.02","1.91","0.326",1,0,2,1,0,"Rehabilitation"
"11500153509","Journal of Oncology Practice",2.3,123,"1.06","0.70","1.60","0.788",123,"1.06","0.70","1.60","0.850",4,12,13,59,53,"Health Policy; Oncology"
"19700183009","Journal of Ophthalmic and Vision Research",1.07,10,"0.27","0.03","2.38","0.239",10,"0.27","0.03","2.38","0.177",4,3,2,1,1,"Ophthalmology"
"12239","Journal of Orthopaedic Research",2.8,7,"1.68","0.32","8.74","0.538",7,"1.68","0.32","8.74","0.531",0,0,0,3,6,"Orthopedics and Sports Medicine"
"5700191212","Journal of Orthopaedic Surgery and Research",1.61,6,"1.67","0.15","19.23","0.681",6,"1.67","0.15","19.23","0.465",1,0,2,1,2,"Orthopedics and Sports Medicine; Surgery"
"12257","Journal of Orthopaedic Trauma",1.86,7,"2.25","0.23","22.21","0.487",7,"2.25","0.23","22.21","0.556",1,3,1,1,2,"Orthopedics and Sports Medicine; Surgery"
"19700174927","Journal of Ovarian Research",2.76,7,"0.60","0.10","3.62","0.577",7,"0.60","0.10","3.62","0.410",4,1,6,0,0,"Obstetrics and Gynecology; Oncology"
"15108","Journal of Paediatrics and Child Health",1.02,10,"0.30","0.07","1.33","0.112",10,"0.30","0.07","1.33","0.332",7,4,5,3,0,"Pediatrics, Perinatology, and Child Health"
"15987","Journal of Pain",4.69,23,"0.50","0.18","1.36","0.172",23,"0.50","0.18","1.36","0.305",12,5,1,8,0,"Anesthesiology and Pain Medicine; Clinical Neurology"
"16790","Journal of Pain and Symptom Management",2.53,22,"1.16","0.45","2.95","0.762",22,"1.16","0.45","2.95","0.974",7,13,7,2,2,"Anesthesiology and Pain Medicine; Clinical Neurology"
"15989","Journal of Palliative Medicine",1.48,7,"4.10","0.48","35.01","0.198",7,"4.10","0.48","35.01","0.375",5,7,7,5,2,"Anesthesiology and Pain Medicine"
"12721","Journal of Parenteral and Enteral Nutrition",2.88,16,"0.60","0.15","2.35","0.464",16,"0.60","0.15","2.35","0.528",7,5,3,3,1,"Medicine (miscellaneous)"
"15991","Journal of Pathology",6.68,15,"0.24","0.05","1.14","0.072",15,"0.24","0.05","1.14","0.188",4,5,6,1,1,"Pathology and Forensic Medicine"
"15113","Journal of Pediatric and Adolescent Gynecology",1.38,4,"1.12","0.03","40.36","0.951",4,"1.12","0.03","40.36","1.000",4,6,6,5,4,"Obstetrics and Gynecology; Pediatrics, Perinatology, and Child Health"
"26179","Journal of Pediatric Endocrinology and Metabolism",1.09,4,"0.58","0.05","7.21","0.671",4,"0.58","0.05","7.21","0.568",0,1,2,1,1,"Endocrinology, Diabetes, and Metabolism; Pediatrics, Perinatology, and Child Health"
"12722","Journal of Pediatric Gastroenterology and Nutrition",2.25,74,"0.77","0.43","1.39","0.389",74,"0.77","0.43","1.39","0.705",22,15,17,25,17,"Gastroenterology; Pediatrics, Perinatology, and Child Health"
"30021","Journal of Pediatric Psychology",2.44,27,"1.01","0.41","2.48","0.978",27,"1.01","0.41","2.48","0.726",5,11,3,9,6,"Pediatrics, Perinatology, and Child Health"
"3200147817","Journal of Pediatric Urology",1.04,27,"0.51","0.14","1.84","0.305",27,"0.51","0.14","1.84","0.560",2,6,2,18,9,"Pediatrics, Perinatology, and Child Health; Urology"
"15116","Journal of Pediatrics",2.44,93,"0.62","0.38","1.02","0.058",93,"0.62","0.38","1.02","0.377",35,36,36,0,0,"Pediatrics, Perinatology, and Child Health"
"27622","Journal of Perinatal Medicine",1.49,16,"0.29","0.07","1.19","0.085",16,"0.29","0.07","1.19","0.522",1,1,4,9,5,"Obstetrics and Gynecology; Pediatrics, Perinatology, and Child Health"
"27623","Journal of Perinatology",2.11,10,"0.86","0.20","3.63","0.838",10,"0.86","0.20","3.63","0.327",3,6,2,1,1,"Obstetrics and Gynecology; Pediatrics, Perinatology, and Child Health"
"30045","Journal of Personality Disorders",2.62,13,"0.74","0.20","2.69","0.650",13,"0.74","0.20","2.69","0.153",4,7,2,0,0,"Psychiatry and Mental Health"
"21100325142","Journal of Pharmaceutical Policy and Practice",0.48,2,"2.00","0.11","37.83","0.644",2,"2.00","0.11","37.83","0.749",1,0,0,1,1,"Health Policy"
